Name,Developer,Publisher,Date Released,Review Category,Review Score,MetaCritic Review Score,Review Amount,Original Price,Discounted Price,Achievements listed,Game Rating,DLC?,Early Access?,Category
DayZ,Bohemia Interactive,Bohemia Interactive,"Dec 13, 2018",Mostly Positive,74,,287390,$19.99,,72,No Rating,N,N,Action
Pizza Tower,Tour De Pizza,Tour De Pizza,"Jan 26, 2023",Overwhelmingly Positive,98,,24413,$59.99,,29,Mature,N,N,Action
The Last of Us™ Part I,Naughty Dog LLC,PlayStation PC LLC,"Mar 28, 2023",Mixed,55,,19087,$19.99,$9.99,0,Teen,N,N,Action
The Sims™ 3,The Sims Studio,Electronic Arts,"Jun 2, 2009",Very Positive,86,86,26277,$19.99,$3.99,49,No Rating,N,N,Action
Metro: Last Light Redux,4A Games,Deep Silver,"Aug 25, 2014",Very Positive,89,76,49405,$19.99,$14.99,33,No Rating,N,N,Action
Ghostlore,Andrew Teo,AT-AT Games,"May 17, 2023",Very Positive,85,,255,$24.99,,118,Teen,N,N,Action
Risk of Rain 2,Hopoo Games,Gearbox Publishing,"Aug 11, 2020",Overwhelmingly Positive,96,85,157427,$13.99,,146,No Rating,N,N,Action
Bloons TD 6,Ninja Kiwi,Ninja Kiwi,"Dec 17, 2018",Overwhelmingly Positive,97,,223032,$59.99,$47.99,32,Mature,N,N,Action
High On Life,"Squanch Games, Inc."," Squanch Games, Inc.","Dec 13, 2022",Very Positive,89,,9201,$19.99,,84,Mature,N,N,Action
Fallout 4,Bethesda Game Studios,Bethesda Softworks,"Nov 9, 2015",Very Positive,83,84,197215,$39.99,,171,No Rating,N,N,Action
Hearts of Iron IV,Paradox Development Studio,Paradox Interactive,"Jun 6, 2016",Very Positive,92,83,165373,$19.99,,0,No Rating,N,Y,Action
Valheim,Iron Gate AB,Coffee Stain Publishing,"Feb 2, 2021",Overwhelmingly Positive,95,,347345,$19.99,,32,Teen,N,N,Action
ARK: Survival Evolved,Studio Wildcard,Studio Wildcard,"Aug 27, 2017",Very Positive,83,70,479253,$59.99,,44,Mature,N,N,Action
Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,"Dec 9, 2020",Mostly Positive,79,86,536106,$49.99,,0,No Rating,N,N,Action
Squad,Offworld Industries,Offworld Industries,"Sep 23, 2020",Very Positive,87,,99552,$19.99,,0,No Rating,N,Y,Action
Silica,Bohemia Incubator,Bohemia Interactive,"May 3, 2023",Mostly Positive,79,,1547,$9.99,,115,No Rating,N,N,Action
Terraria,Re-Logic,Re-Logic,"May 16, 2011",Overwhelmingly Positive,97,83,898176,$19.99,$17.99,18,No Rating,N,Y,Action
